Time,conso_value
2025-09-07T09:00:00,216713.0
2025-09-07T10:00:00,216713.0
2025-09-07T11:00:00,216713.0
2025-09-07T12:00:00,216713.0
2025-09-07T13:00:00,216713.0
2025-09-07T14:00:00,216713.0
2025-09-07T15:00:00,216713.0
2025-09-07T16:00:00,216713.0
2025-09-07T17:00:00,216713.0
2025-09-07T18:00:00,216715.0
2025-09-07T19:00:00,216723.0
2025-09-07T20:00:00,216732.0
2025-09-07T21:00:00,216741.0
2025-09-07T22:00:00,216750.0
2025-09-07T23:00:00,216759.0
2025-09-08T00:00:00,216768.0
2025-09-08T01:00:00,216776.0
2025-09-08T02:00:00,216785.0
2025-09-08T03:00:00,216794.0
2025-09-08T04:00:00,216803.0
2025-09-08T05:00:00,216813.0
2025-09-08T06:00:00,216822.0
2025-09-08T07:00:00,216830.0
2025-09-08T08:00:00,216833.0
2025-09-08T09:00:00,216836.0
2025-09-08T10:00:00,216837.0
2025-09-08T11:00:00,216837.0
2025-09-08T12:00:00,216839.0
2025-09-08T13:00:00,216841.0
2025-09-08T14:00:00,216842.0
2025-09-08T15:00:00,216848.0
2025-09-08T16:00:00,216858.0
2025-09-08T17:00:00,216873.0
2025-09-08T18:00:00,216890.0
2025-09-08T19:00:00,216903.0
2025-09-08T20:00:00,216915.0
2025-09-08T21:00:00,216926.0
2025-09-08T22:00:00,216936.0
2025-09-08T23:00:00,216948.0
2025-09-09T00:00:00,216958.0
2025-09-09T01:00:00,216968.0
2025-09-09T02:00:00,216979.0
2025-09-09T03:00:00,216988.0
2025-09-09T04:00:00,216999.0
2025-09-09T05:00:00,217009.0
2025-09-09T06:00:00,217020.0
2025-09-09T07:00:00,217029.0
2025-09-09T08:00:00,217036.0
2025-09-09T09:00:00,217051.0
2025-09-09T10:00:00,217056.0
2025-09-09T11:00:00,217057.0
2025-09-09T12:00:00,217057.0
2025-09-09T13:00:00,217071.0
2025-09-09T14:00:00,217080.0
2025-09-09T15:00:00,217090.0
2025-09-09T16:00:00,217114.0
2025-09-09T17:00:00,217133.0
2025-09-09T18:00:00,217152.0
2025-09-09T19:00:00,217172.0
2025-09-09T20:00:00,217183.0
2025-09-09T21:00:00,217192.0
2025-09-09T22:00:00,217201.0
2025-09-09T23:00:00,217211.0
2025-09-10T00:00:00,217221.0
2025-09-10T01:00:00,217231.0
2025-09-10T02:00:00,217240.0
2025-09-10T03:00:00,217250.0
2025-09-10T04:00:00,217260.0
2025-09-10T05:00:00,217269.0
2025-09-10T06:00:00,217279.0
2025-09-10T07:00:00,217289.0
2025-09-10T08:00:00,217298.0
2025-09-10T09:00:00,217302.0
2025-09-10T10:00:00,217303.0
2025-09-10T11:00:00,217303.0
2025-09-10T12:00:00,217304.0
2025-09-10T13:00:00,217304.0
2025-09-10T14:00:00,217314.0
2025-09-10T15:00:00,217333.0
2025-09-10T16:00:00,217355.0
2025-09-10T17:00:00,217378.0
2025-09-10T18:00:00,217395.0
2025-09-10T19:00:00,217412.0
2025-09-10T20:00:00,217422.0
2025-09-10T21:00:00,217432.0
2025-09-10T22:00:00,217443.0
2025-09-10T23:00:00,217453.0
2025-09-11T00:00:00,217463.0
2025-09-11T01:00:00,217473.0
2025-09-11T02:00:00,217483.0
2025-09-11T03:00:00,217493.0
2025-09-11T04:00:00,217503.0
2025-09-11T05:00:00,217513.0
2025-09-11T06:00:00,217522.0
2025-09-11T07:00:00,217530.0
2025-09-11T08:00:00,217532.0
2025-09-11T09:00:00,217532.0
2025-09-11T10:00:00,217532.0
2025-09-11T11:00:00,217532.0
2025-09-11T12:00:00,217532.0
2025-09-11T13:00:00,217532.0
2025-09-11T14:00:00,217532.0
2025-09-11T15:00:00,217532.0
2025-09-11T16:00:00,217533.0
2025-09-11T17:00:00,217535.0
2025-09-11T18:00:00,217542.0
2025-09-11T19:00:00,217553.0
2025-09-11T20:00:00,217563.0
2025-09-11T21:00:00,217573.0
2025-09-11T22:00:00,217586.0
2025-09-11T23:00:00,217602.0
2025-09-12T00:00:00,217617.0
2025-09-12T01:00:00,217632.0
2025-09-12T02:00:00,217645.0
2025-09-12T03:00:00,217659.0
2025-09-12T04:00:00,217673.0
2025-09-12T05:00:00,217686.0
2025-09-12T06:00:00,217699.0
2025-09-12T07:00:00,217709.0
2025-09-12T08:00:00,217713.0
2025-09-12T09:00:00,217716.0
2025-09-12T10:00:00,217716.0
2025-09-12T11:00:00,217716.0
2025-09-12T12:00:00,217716.0
2025-09-12T13:00:00,217716.0
2025-09-12T14:00:00,217716.0
